article_id,article_title,article_date,sentence,category,voice
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02, Al  Jazeera  rebuffs  Israeli  claim  killed  journalist  was  Hamas  operative  T-I-T-L-E-E-N-D.  ,palestine,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," Al  Jazeera  has  strongly  rejected,  external  the  Israeli  military’s  claim  that  its  correspondent  killed  in  an  air  strike  in  Gaza  this  week  was  a  Hamas  operative  who  participated  in  the  7  October  attacks. ",palestine,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," His  cameraman,  Rami  al-Rifi,  and  a  boy  passing  on  a  bicycle,  Khalid  Shawa,  were  also  killed. ",palestine,PASSIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," As  Friday  prayers  in  Gaza  were  dedicated  to  the  late  Hamas  leader,  Ismail  Haniyeh,  who  was  assassinated  in  the  Iranian  capital  Tehran,  some  Palestinians  said  they  were  also  thinking  about  those  who  had  been  killed  closer  to  home. ",palestine,PASSIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," As  Friday  prayers  in  Gaza  were  dedicated  to  the  late  Hamas  leader,  Ismail  Haniyeh,  who  was  assassinated  in  the  Iranian  capital  Tehran,  some  Palestinians  said  they  were  also  thinking  about  those  who  had  been  killed  closer  to  home. ",palestine,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," After  images  of  a  dead  Khaled  al-Shawa,  the  boy  killed  in  the  strike,  were  widely  publicised,  the  boy’s  mother  put  out  a  message  on  social  media  pleading  for  him  to  be  remembered  too. ",palestine,
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," After  images  of  a  dead  Khaled  al-Shawa,  the  boy  killed  in  the  strike,  were  widely  publicised,  the  boy’s  mother  put  out  a  message  on  social  media  pleading  for  him  to  be  remembered  too. ",palestine,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," In  late  October,  Wael  Dahdouh,  the  network’s  well-known  bureau  chief,  was  reporting  when  he  received  word  on-air  that  his  wife,  daughter,  a  son,  and  grandchild  were  killed  in  an  Israeli  airstrike. ",palestine,PASSIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," In  December,  he  was  injured  in  an  attack  that  also  killed  another  Al  Jazeera  cameraman,  Samer  Abudaqa. ",palestine,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," In  January,  a  strike  killed  Mr  Dahdouh’s  son,  Hamza,  and  Mustafa  Thuria,  a  video  stringer,  while  they  were  working  for  Al  Jazeera. ",palestine,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," There  are  differing  tallies  of  the  number  of  media  workers  killed  since  the  unprecedented,  deadly  Hamas-led  attacks  on  Israel  that  prompted  the  war  in  Gaza. ",both,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," However,  according  to  the  Committee  to  Protect  Journalists,  external,  the  latest  deaths  in  Gaza  bring  the  number  of  journalists  killed  to  113,  including  108  Palestinians,  three  Lebanese  and  two  Israelis  who  were  killed  during  the  7  October  assault. ",both,ACTIVE
2852,Al Jazeera rebuffs Israeli claim killed journalist was Hamas operative,2024-08-02," However,  according  to  the  Committee  to  Protect  Journalists,  external,  the  latest  deaths  in  Gaza  bring  the  number  of  journalists  killed  to  113,  including  108  Palestinians,  three  Lebanese  and  two  Israelis  who  were  killed  during  the  7  October  assault. ",both,PASSIVE
